version,task,horizon_years,method,n,n_converters,auc,ci_lo,ci_hi,delta_vs_ridge_all,delta_ci_lo,delta_ci_hi,delta_p
raw,CN_to_MCI,2,contrastive_rank_kendall_basic_finetune,102,7,0.3308270676691729,0.10821801979696719,0.5820927318295732,-0.29286157297416454,-0.6996875,0.15056335034013574,0.17730638383029818
raw,CN_to_MCI,2,contrastive_hybrid_basic_probe,102,7,0.5338345864661653,0.3113340051158825,0.744107744107744,-0.0888017668961098,-0.31343048703873444,0.10439857761286328,0.4026415849509706
raw,CN_to_MCI,2,contrastive_hybrid_basic_s,102,7,0.5278195488721804,0.3416956144159792,0.7154964731416167,-0.09417604689292011,-0.4387868480725624,0.2916666666666667,0.5879527716629978
raw,CN_to_MCI,2,contrastive_hybrid_basic_finetune,102,7,0.2857142857142857,0.11625286041189932,0.4742531033031768,-0.33790956630936825,-0.6786842105263157,0.04660210258614477,0.08284970982589554
raw,CN_to_MCI,3,ridge_dhat_finetune,78,13,0.5704142011834319,0.4040398403679654,0.7285714285714285,-0.0638013062668966,-0.17076560928068407,0.037181768822393546,0.2248
raw,CN_to_MCI,3,ridge_dhat_all,78,13,0.6343195266272189,0.45159152003910064,0.7976331360946746,,,,
raw,CN_to_MCI,3,direct_logistic,78,13,0.5254437869822486,0.3461062536075983,0.7109451275887573,-0.10886561281901061,-0.3437541335978836,0.12486253543564596,0.36
raw,CN_to_MCI,3,contrastive_euclidean_probe,78,13,0.5289940828402367,0.3554778192371476,0.7100591715976331,-0.10556470900495396,-0.29715632112531193,0.07246376811594202,0.2484
raw,CN_to_MCI,3,contrastive_euclidean_s,78,13,0.5905325443786983,0.42352941176470593,0.7491346153846151,-0.04407617036209632,-0.25765304196859906,0.16230694996363806,0.6836
raw,CN_to_MCI,3,contrastive_euclidean_finetune,78,13,0.5159763313609468,0.3264705882352941,0.701390931372549,-0.11928895765314383,-0.32500704508856676,0.0757575757575758,0.2584
raw,CN_to_MCI,3,contrastive_rank_kendall_basic_probe,78,13,0.501775147928994,0.3419994848901099,0.6642857142857143,-0.133854977775548,-0.31186868686868685,0.05441176470588238,0.1504
raw,CN_to_MCI,3,contrastive_rank_kendall_basic_s,78,13,0.5337278106508876,0.3650772113458681,0.7014925373134329,-0.10079114998507087,-0.3417448171228413,0.14707553475935808,0.414
raw,CN_to_MCI,3,contrastive_rank_kendall_basic_finetune,78,13,0.6106508875739645,0.44497041420118344,0.7652645861601085,-0.024166659144945094,-0.2053571428571428,0.15714285714285714,0.7932
raw,CN_to_MCI,3,contrastive_hybrid_basic_probe,78,13,0.4307692307692308,0.2428463203463203,0.6312417654808958,-0.20245488492870864,-0.4052431622290494,-0.0203490125131918,0.03
raw,CN_to_MCI,3,contrastive_hybrid_basic_s,78,13,0.5940828402366864,0.4220588235294118,0.7513227513227513,-0.041282369843804574,-0.29912946428571424,0.22796575832956414,0.766
