version,task,method,horizons,n_total_rows_sum,n_converters_sum,auc_mean_y234,auc_weighted_by_n,auc_weighted_by_converters,delta_mean_vs_ridge_all
combat,CN_to_MCI,contrastive_euclidean_finetune,2/3/4,251,35,0.4642628514086004,0.44799539071399,0.4942530777493183,-0.11209530342185192
raw,CN_to_MCI,ridge_dhat_all,2/3/4,251,35,0.6153872106301256,0.6168006401231396,0.6126666942080476,
raw,CN_to_MCI,contrastive_euclidean_s,2/3/4,251,35,0.5774415081095244,0.5750210071608688,0.5818487151945799,-0.03786162814970003
raw,CN_to_MCI,contrastive_hybrid_basic_s,2/3/4,251,35,0.5771420662108921,0.5715228924287428,0.5874477402296951,-0.038178628623955164
raw,CN_to_MCI,ridge_dhat_finetune,2/3/4,251,35,0.5534839317227981,0.5509721092495259,0.5580389159712468,-0.06193024321305213
raw,CN_to_MCI,contrastive_rank_kendall_basic_s,2/3/4,251,35,0.547541684586219,0.5462064216624921,0.5500892340741964,-0.06703314174099427
raw,CN_to_MCI,contrastive_euclidean_probe,2/3/4,251,35,0.506636289935885,0.5098760731126007,0.5005168140130546,-0.10850349759694573
raw,CN_to_MCI,direct_logistic,2/3/4,251,35,0.5025497669222366,0.48773688742235605,0.5298372304387342,-0.11302585315398271
raw,CN_to_MCI,contrastive_rank_kendall_basic_finetune,2/3/4,251,35,0.4947783660334268,0.47776090548160166,0.5256316615715111,-0.12060570176563329
raw,CN_to_MCI,contrastive_rank_kendall_basic_probe,2/3/4,251,35,0.4929893767950448,0.48657845963360746,0.504805420143766,-0.1232413329835161
raw,CN_to_MCI,contrastive_hybrid_basic_finetune,2/3/4,251,35,0.46757772142387527,0.4471593479561607,0.5049607535321822,-0.14807573586530628
raw,CN_to_MCI,contrastive_hybrid_basic_probe,2/3/4,251,35,0.45407428828481455,0.4632752199223157,0.4371750805585392,-0.16093672573047893
raw,CN_to_MCI,contrastive_euclidean_finetune,2/3/4,251,35,0.4515451597435403,0.42543201015102877,0.49951623564405523,-0.16407350435644544
combat,MCI_to_AD,ridge_dhat_finetune,2/3/4,303,75,0.7435789495378765,0.7449438982897101,0.7417968513945759,0.06231254958553214
combat,MCI_to_AD,ridge_dhat_all,2/3/4,303,75,0.6805665846738845,0.6824316993356762,0.6780071682347182,
combat,MCI_to_AD,direct_logistic,2/3/4,303,75,0.5860052457791706,0.5890356919617391,0.5836942108864092,-0.09378280954003833
combat,MCI_to_AD,contrastive_euclidean_finetune,2/3/4,303,75,0.5681637663506429,0.5730111493555716,0.5622999128281534,-0.1114128118105226
combat,MCI_to_AD,contrastive_hybrid_basic_finetune,2/3/4,303,75,0.5627971680200974,0.5665462586566509,0.5580749955719481,-0.11671425538733404
combat,MCI_to_AD,contrastive_rank_kendall_basic_finetune,2/3/4,303,75,0.5262706506586846,0.5204533281298059,0.5370131660745233,-0.15313012430809372
combat,MCI_to_AD,contrastive_rank_kendall_basic_probe,2/3/4,303,75,0.5240534847860745,0.5278273442672563,0.5190430545570732,-0.15562685142417162
combat,MCI_to_AD,contrastive_euclidean_probe,2/3/4,303,75,0.5235317802814297,0.5287367636205694,0.515685618729097,-0.1563485133728073
combat,MCI_to_AD,contrastive_euclidean_s,2/3/4,303,75,0.5158155466243904,0.5133337620236484,0.5199705491131741,-0.165172227205188
combat,MCI_to_AD,contrastive_hybrid_basic_probe,2/3/4,303,75,0.4881882884039102,0.4926388466181256,0.48152054095166646,-0.19174843155629465
combat,MCI_to_AD,contrastive_hybrid_basic_s,2/3/4,303,75,0.4510916238413585,0.45575217853805017,0.4436658366239838,-0.22901822522952972
combat,MCI_to_AD,contrastive_rank_kendall_basic_s,2/3/4,303,75,0.44821126946148243,0.45158233315680485,0.4428565276431997,-0.23171037465604263
raw,MCI_to_AD,ridge_dhat_finetune,2/3/4,303,75,0.7058142951105424,0.7053033743380153,0.7070754019108346,0.051857388177224906
raw,MCI_to_AD,direct_logistic,2/3/4,303,75,0.6558056448648064,0.6588469702421269,0.65285927129893,0.003035654170765736
raw,MCI_to_AD,ridge_dhat_all,2/3/4,303,75,0.6533143814949663,0.6551285195656227,0.6509665308730729,
raw,MCI_to_AD,contrastive_euclidean_probe,2/3/4,303,75,0.6051739804705424,0.6100281553759839,0.5977702761367939,-0.047781815720055965
raw,MCI_to_AD,contrastive_euclidean_finetune,2/3/4,303,75,0.592620959279543,0.5993493280870715,0.5841209014471915,-0.060308176891471395
raw,MCI_to_AD,contrastive_hybrid_basic_finetune,2/3/4,303,75,0.5812422331040189,0.5910925689802664,0.5671115209229798,-0.07165923846211246
raw,MCI_to_AD,contrastive_rank_kendall_basic_finetune,2/3/4,303,75,0.5740177084708222,0.5746866575870175,0.5745259553305063,-0.07906305155922087
raw,MCI_to_AD,contrastive_rank_kendall_basic_probe,2/3/4,303,75,0.5651973196293628,0.5639740572938156,0.5683399840937428,-0.0875758957717682
raw,MCI_to_AD,contrastive_euclidean_s,2/3/4,303,75,0.5561420503787559,0.5557999367598306,0.5569947245404376,-0.09724742366514677
raw,MCI_to_AD,contrastive_hybrid_basic_probe,2/3/4,303,75,0.49821652474734096,0.5036661324585179,0.4900915130740405,-0.15470456876357314
raw,MCI_to_AD,contrastive_hybrid_basic_s,2/3/4,303,75,0.4527388955843819,0.45574426186407785,0.44798869197081304,-0.20037606330473592
raw,MCI_to_AD,contrastive_rank_kendall_basic_s,2/3/4,303,75,0.4378203505746401,0.4402355444269881,0.43405467168165257,-0.21533243298278623
