version,task,horizon_years,method,n,n_converters,auc,ci_lo,ci_hi,delta_vs_ridge_dhat,delta_ci_lo,delta_ci_hi,delta_p
combat,MCI_to_AD,3,rasper_kendall,51,19,0.6842105263157895,0.5242207556646946,0.8267857142857143,-0.1422154427274194,-0.2777777777777777,-0.015570934256055487,0.0244
combat,MCI_to_AD,4,ridge_d_hat,45,22,0.7608695652173912,0.6031746031746033,0.8932986166007904,,,,
combat,MCI_to_AD,4,direct_logistic,45,22,0.6403162055335968,0.466403162055336,0.8036526315789472,-0.11991969691223614,-0.2822516869095817,0.031746031746031744,0.1328
combat,MCI_to_AD,4,oracle_true_d_mod3,45,22,0.6640316205533597,0.48595474308300396,0.816,-0.09686263252261311,-0.2589024300980822,0.06522386128364376,0.23
combat,MCI_to_AD,4,rasper_kendall,45,22,0.6561264822134387,0.487639687100894,0.8234245469442837,-0.10417365029709418,-0.26955467372134045,0.05060728744939269,0.1996
combat,CN_to_MCI,2,ridge_d_hat,59,5,0.8111111111111111,0.6842105263157895,0.9240196078431372,,,,
combat,CN_to_MCI,2,direct_logistic,59,5,0.32222222222222224,0.1530817610062893,0.509090909090909,-0.4915398731174053,-0.722359584859585,-0.2288894405825888,0.0
combat,CN_to_MCI,2,oracle_true_d_mod3,59,5,0.6518518518518519,0.4407407407407407,0.8481481481481481,-0.16039775210046237,-0.368421052631579,0.06140350877192984,0.14970901063616296
combat,CN_to_MCI,2,rasper_kendall,59,5,0.3851851851851852,0.2380952380952381,0.5363636363636364,-0.427081863884992,-0.6052631578947368,-0.2407407407407408,0.0
combat,CN_to_MCI,3,ridge_d_hat,49,9,0.6555555555555557,0.4863636363636364,0.8115942028985507,,,,
combat,CN_to_MCI,3,direct_logistic,49,9,0.40555555555555556,0.22777777777777777,0.5942149758454106,-0.25284278891487616,-0.5374672946101517,0.05277777777777771,0.09761952390478096
combat,CN_to_MCI,3,oracle_true_d_mod3,49,9,0.5777777777777778,0.4136067193675889,0.7393135435992583,-0.07765464037768667,-0.2755102040816326,0.13414634146341453,0.4832966593318664
combat,CN_to_MCI,3,rasper_kendall,49,9,0.3972222222222222,0.22777777777777775,0.5750609756097563,-0.26081569508748637,-0.524390243902439,0.010249433106576143,0.0604120824164833
combat,CN_to_MCI,4,ridge_d_hat,42,9,0.6464646464646464,0.46486486486486484,0.8088235294117647,,,,
combat,CN_to_MCI,4,direct_logistic,42,9,0.4511784511784512,0.2625,0.648665195808053,-0.1970860204842034,-0.4780112957532312,0.10850439882697943,0.1868373674734947
combat,CN_to_MCI,4,oracle_true_d_mod3,42,9,0.5858585858585859,0.41202342047930285,0.7551020408163265,-0.058675653608374186,-0.27346938775510204,0.16332572502685314,0.5973194638927786
combat,CN_to_MCI,4,rasper_kendall,42,9,0.4377104377104377,0.24039860975344848,0.6433823529411764,-0.21168436264194873,-0.490787037037037,0.09565257352941199,0.15363072614522905
