run_set,stage,version,task,horizon_years,method,n,n_converters,auc,ci_lo,ci_hi,delta_vs_ridge_all,delta_p
old_full_20eff128_reference,full_hybrid_basic,raw,CN_to_MCI,2.0,contrastive_regress_d_probe,60,5.0,0.7454545454545455,0.5566720142602496,0.9090909090909092,-0.1385806748119082,0.0853118712273641
old_full_20eff128_reference,full_hybrid_basic,raw,CN_to_MCI,2.0,contrastive_regress_d_s,60,5.0,0.850909090909091,0.7161200897867565,0.9649122807017544,-0.0333053087483912,0.5440643863179074
old_full_20eff128_reference,full_hybrid_basic,raw,CN_to_MCI,2.0,direct_logistic,60,5.0,0.4836363636363637,0.2250226860254084,0.7232142857142857,-0.400874307497423,0.0
old_full_20eff128_reference,full_hybrid_basic,raw,CN_to_MCI,2.0,ridge_dhat_all,60,5.0,0.8836363636363637,0.7796610169491525,0.9655172413793104,,
old_full_20eff128_reference,full_hybrid_basic,raw,CN_to_MCI,2.0,ridge_dhat_finetune,60,5.0,0.8836363636363637,0.7796610169491525,0.9655172413793104,0.0,2.0
old_full_20eff128_reference,full_regress_d,raw,CN_to_MCI,2.0,contrastive_euclidean_finetune,60,5.0,0.48,0.2912440191387559,0.6923143837294774,-0.3055052359280029,0.0225352112676056
old_full_20eff128_reference,full_regress_d,raw,CN_to_MCI,2.0,contrastive_euclidean_probe,60,5.0,0.8545454545454545,0.6819224964618971,0.9827586206896552,0.0701229260382666,0.4482897384305835
old_full_20eff128_reference,full_regress_d,raw,CN_to_MCI,2.0,contrastive_euclidean_s,60,5.0,0.7781818181818183,0.576271186440678,0.9491525423728814,-0.0063637088067916,0.9142857142857144
old_full_20eff128_reference,full_regress_d,raw,CN_to_MCI,2.0,contrastive_hybrid_basic_finetune,60,5.0,0.5781818181818182,0.4038461538461538,0.7615649038461532,-0.2067535487465824,0.0470824949698189
old_full_20eff128_reference,full_regress_d,raw,CN_to_MCI,2.0,contrastive_hybrid_basic_probe,60,5.0,0.8872727272727273,0.7672413793103448,0.9781818181818182,0.1025920850203294,0.1935613682092555
old_full_20eff128_reference,full_regress_d,raw,CN_to_MCI,2.0,contrastive_hybrid_basic_s,60,5.0,0.7745454545454545,0.5146198830409356,0.9548754699248112,-0.0101187091519875,0.9633802816901408
old_full_20eff128_reference,full_regress_d,raw,CN_to_MCI,2.0,contrastive_rank_kendall_basic_finetune,60,5.0,0.6145454545454545,0.4538439280626781,0.7708894878706198,-0.1700312257808684,0.0591549295774647
old_full_20eff128_reference,full_regress_d,raw,CN_to_MCI,2.0,contrastive_rank_kendall_basic_probe,60,5.0,0.6290909090909091,0.4737862976406534,0.7758029073698444,-0.1560217790900421,0.0346076458752515
old_full_20eff128_reference,full_regress_d,raw,CN_to_MCI,2.0,contrastive_rank_kendall_basic_s,60,5.0,0.8400000000000001,0.7098214285714286,0.9482758620689656,0.0546835810748384,0.482897384305835
old_full_20eff128_reference,full_regress_d,raw,CN_to_MCI,2.0,contrastive_regress_d_finetune,60,5.0,0.6036363636363636,0.4181818181818182,0.7672656739811912,-0.1812555946811794,0.0201207243460764
old_full_20eff128_reference,full_regress_d,raw,CN_to_MCI,2.0,contrastive_regress_d_probe,60,5.0,0.6436363636363637,0.3830146563342317,0.8474576271186441,-0.1412735789151404,0.1766599597585513
old_full_20eff128_reference,full_regress_d,raw,CN_to_MCI,2.0,contrastive_regress_d_s,60,5.0,0.8,0.6607142857142857,0.9279174093879974,0.0148674677181697,0.7859154929577464
old_full_20eff128_reference,full_regress_d,raw,CN_to_MCI,2.0,direct_logistic,60,5.0,0.4581818181818182,0.1877653301886792,0.7240250783699058,-0.3266382200144989,0.0338028169014084
old_full_20eff128_reference,full_regress_d,raw,CN_to_MCI,2.0,ridge_dhat_all,60,5.0,0.7854545454545454,0.6254545454545455,0.9285714285714286,,
old_full_20eff128_reference,full_regress_d,raw,CN_to_MCI,2.0,ridge_dhat_finetune,60,5.0,0.7854545454545454,0.6254545454545455,0.9285714285714286,0.0,2.0
budget20_eff128,direct_full_downstream,raw,CN_to_MCI,3.0,direct_full_downstream,49,9.0,0.5333333333333333,0.3,0.7590909090909091,,
budget20_eff128,direct_lora_downstream,raw,CN_to_MCI,3.0,direct_lora_downstream,49,9.0,0.3861111111111111,0.2200568063372941,0.5611111111111111,,
budget20_eff128,frozen_feature,raw,CN_to_MCI,3.0,contrastive_euclidean_finetune,49,9.0,0.5,0.3179427549194991,0.6870800627943485,-0.1490375354295736,0.2340468093618724
budget20_eff128,frozen_feature,raw,CN_to_MCI,3.0,contrastive_euclidean_probe,49,9.0,0.4333333333333333,0.2538062851782363,0.619047619047619,-0.2188457482164573,0.1176235247049409
budget20_eff128,frozen_feature,raw,CN_to_MCI,3.0,contrastive_euclidean_s,49,9.0,0.475,0.2388888888888888,0.7127686852154937,-0.1768465856226262,0.2044408881776355
budget20_eff128,frozen_feature,raw,CN_to_MCI,3.0,contrastive_hybrid_basic_finetune,49,9.0,0.538888888888889,0.3468531468531468,0.7286821705426357,-0.1101676860554278,0.4244848969793959
budget20_eff128,frozen_feature,raw,CN_to_MCI,3.0,contrastive_hybrid_basic_probe,49,9.0,0.3666666666666667,0.2054263565891473,0.5358857808857809,-0.2854725942242667,0.0392078415683136
budget20_eff128,frozen_feature,raw,CN_to_MCI,3.0,contrastive_hybrid_basic_s,49,9.0,0.5972222222222222,0.4013605442176871,0.7774390243902438,-0.054963178970487,0.670134026805361
budget20_eff128,frozen_feature,raw,CN_to_MCI,3.0,contrastive_rank_kendall_basic_finetune,49,9.0,0.5694444444444444,0.3722222222222222,0.7564275814275816,-0.0782439591815591,0.5189037807561512
budget20_eff128,frozen_feature,raw,CN_to_MCI,3.0,contrastive_rank_kendall_basic_probe,49,9.0,0.4666666666666667,0.2918181818181818,0.6461590790162219,-0.183848211840858,0.2008401680336067
budget20_eff128,frozen_feature,raw,CN_to_MCI,3.0,contrastive_rank_kendall_basic_s,49,9.0,0.6222222222222222,0.4590909090909091,0.7774390243902439,-0.0278340567072846,0.6773354670934186
budget20_eff128,frozen_feature,raw,CN_to_MCI,3.0,contrastive_regress_d_finetune,49,9.0,0.5277777777777778,0.3571428571428571,0.695138580931264,-0.1217725142102893,0.3188637727545509
budget20_eff128,frozen_feature,raw,CN_to_MCI,3.0,contrastive_regress_d_probe,49,9.0,0.5083333333333333,0.3129199372056515,0.7091014799154336,-0.1444522902358413,0.239247849569914
budget20_eff128,frozen_feature,raw,CN_to_MCI,3.0,contrastive_regress_d_s,49,9.0,0.6333333333333333,0.4388888888888889,0.8140243902439024,-0.0187394340150588,0.8561712342468494
budget20_eff128,frozen_feature,raw,CN_to_MCI,3.0,direct_logistic,49,9.0,0.4861111111111111,0.3048780487804878,0.6743619558735838,-0.1651768704998585,0.2432486497299459
budget20_eff128,frozen_feature,raw,CN_to_MCI,3.0,ridge_dhat_all,49,9.0,0.65,0.4679487179487179,0.8277777777777778,,
