run_set,stage,method,CN_to_MCI_y2,CN_to_MCI_y3,CN_to_MCI_y4,MCI_to_AD_y2,MCI_to_AD_y3,MCI_to_AD_y4
budget20_eff128,lora_euclidean,contrastive_regress_d_probe,0.6181818181818182,0.5361111111111111,0.4983164983164983,0.7198879551820729,0.7976973684210525,0.7608695652173914
budget20_eff128,lora_euclidean,contrastive_regress_d_s,0.6690909090909091,0.6083333333333333,0.5791245791245792,0.7128851540616247,0.787828947368421,0.7628458498023716
budget20_eff128,lora_euclidean,direct_logistic,0.3636363636363636,0.4861111111111111,0.4242424242424242,0.6652661064425771,0.7648026315789473,0.6561264822134387
budget20_eff128,lora_euclidean,ridge_dhat_all,0.7781818181818182,0.65,0.6498316498316499,0.7549019607843137,0.8157894736842105,0.7628458498023716
budget20_eff128,lora_euclidean,ridge_dhat_finetune,0.7781818181818182,0.65,0.6498316498316499,0.7549019607843137,0.8157894736842105,0.7628458498023716
budget20_eff128,lora_hybrid_basic,contrastive_euclidean_finetune,0.3890909090909091,0.375,0.34006734006734,0.658263305322129,0.6990131578947368,0.6521739130434783
budget20_eff128,lora_hybrid_basic,contrastive_euclidean_probe,0.7090909090909091,0.5583333333333333,0.5622895622895623,0.742296918767507,0.8223684210526316,0.766798418972332
budget20_eff128,lora_hybrid_basic,contrastive_euclidean_s,0.3236363636363636,0.45,0.4444444444444444,0.2549019607843137,0.1759868421052631,0.225296442687747
budget20_eff128,lora_hybrid_basic,contrastive_hybrid_basic_finetune,0.4290909090909092,0.4166666666666666,0.4107744107744108,0.707282913165266,0.7236842105263157,0.6818181818181819
budget20_eff128,lora_hybrid_basic,contrastive_hybrid_basic_probe,0.7272727272727273,0.5722222222222222,0.5757575757575757,0.742296918767507,0.8240131578947368,0.7786561264822135
budget20_eff128,lora_hybrid_basic,contrastive_hybrid_basic_s,0.7709090909090909,0.586111111111111,0.5892255892255892,0.7240896358543417,0.8042763157894737,0.7648221343873518
budget20_eff128,lora_hybrid_basic,contrastive_rank_kendall_basic_finetune,0.4036363636363637,0.5777777777777777,0.4141414141414141,0.6876750700280112,0.7483552631578947,0.6640316205533597
budget20_eff128,lora_hybrid_basic,contrastive_rank_kendall_basic_probe,0.5236363636363637,0.5,0.4478114478114477,0.6554621848739496,0.731907894736842,0.7134387351778656
budget20_eff128,lora_hybrid_basic,contrastive_rank_kendall_basic_s,0.690909090909091,0.5861111111111111,0.5892255892255892,0.7184873949579832,0.794407894736842,0.7569169960474309
budget20_eff128,lora_hybrid_basic,contrastive_regress_d_finetune,0.4872727272727272,0.5527777777777778,0.4208754208754208,0.6974789915966386,0.738486842105263,0.7055335968379447
budget20_eff128,lora_hybrid_basic,contrastive_regress_d_probe,0.6763636363636364,0.5416666666666666,0.4983164983164982,0.7156862745098039,0.7828947368421052,0.7549407114624506
budget20_eff128,lora_hybrid_basic,contrastive_regress_d_s,0.7236363636363637,0.5722222222222222,0.5656565656565656,0.726890756302521,0.8042763157894737,0.7885375494071146
budget20_eff128,lora_hybrid_basic,direct_logistic,0.3890909090909091,0.4083333333333333,0.3804713804713805,0.6750700280112045,0.725328947368421,0.6660079051383399
budget20_eff128,lora_hybrid_basic,ridge_dhat_all,0.7781818181818182,0.5972222222222222,0.6026936026936026,0.7801120448179272,0.8453947368421053,0.8280632411067194
budget20_eff128,lora_hybrid_basic,ridge_dhat_finetune,0.7781818181818182,0.5972222222222222,0.6026936026936026,0.7801120448179272,0.8453947368421053,0.8280632411067194
budget20_eff128,lora_regress_d,contrastive_euclidean_finetune,0.4436363636363636,0.4944444444444444,0.4276094276094276,0.638655462184874,0.787828947368421,0.7628458498023716
budget20_eff128,lora_regress_d,contrastive_euclidean_probe,0.76,0.55,0.5387205387205387,0.7002801120448179,0.78125,0.7312252964426877
budget20_eff128,lora_regress_d,contrastive_euclidean_s,0.2690909090909091,0.4361111111111111,0.4444444444444444,0.3543417366946779,0.2763157894736842,0.2845849802371542
budget20_eff128,lora_regress_d,contrastive_hybrid_basic_finetune,0.3854545454545455,0.4888888888888889,0.4175084175084174,0.6694677871148459,0.7976973684210525,0.7490118577075099
budget20_eff128,lora_regress_d,contrastive_hybrid_basic_probe,0.6763636363636364,0.5333333333333333,0.5185185185185185,0.7142857142857143,0.7976973684210527,0.7529644268774704
budget20_eff128,lora_regress_d,contrastive_hybrid_basic_s,0.6727272727272727,0.5333333333333333,0.5353535353535352,0.7072829131652661,0.7911184210526315,0.7608695652173914
budget20_eff128,lora_regress_d,contrastive_rank_kendall_basic_finetune,0.4654545454545455,0.4388888888888889,0.4848484848484848,0.7044817927170868,0.7845394736842104,0.766798418972332
budget20_eff128,lora_regress_d,contrastive_rank_kendall_basic_probe,0.5454545454545455,0.475,0.441077441077441,0.6820728291316527,0.805921052631579,0.7766798418972333
budget20_eff128,lora_regress_d,contrastive_rank_kendall_basic_s,0.6654545454545454,0.5055555555555555,0.5252525252525253,0.7366946778711485,0.8207236842105263,0.7747035573122529
budget20_eff128,lora_regress_d,contrastive_regress_d_finetune,0.44,0.4,0.4141414141414141,0.6554621848739496,0.7697368421052632,0.7430830039525691
budget20_eff128,lora_regress_d,contrastive_regress_d_probe,0.5781818181818181,0.475,0.4309764309764309,0.680672268907563,0.787828947368421,0.7470355731225297
budget20_eff128,lora_regress_d,contrastive_regress_d_s,0.7236363636363636,0.5277777777777777,0.5218855218855218,0.7170868347338936,0.8075657894736842,0.7608695652173914
budget20_eff128,lora_regress_d,direct_logistic,0.4472727272727273,0.4111111111111111,0.3636363636363636,0.6862745098039216,0.7796052631578947,0.7470355731225297
budget20_eff128,lora_regress_d,ridge_dhat_all,0.7418181818181817,0.5666666666666667,0.5757575757575757,0.7324929971988795,0.8256578947368421,0.7865612648221344
budget20_eff128,lora_regress_d,ridge_dhat_finetune,0.7418181818181817,0.5666666666666667,0.5757575757575757,0.7324929971988795,0.8256578947368421,0.7865612648221344
old_full_20eff128_reference,full_euclidean,contrastive_euclidean_finetune,0.4981818181818181,0.4444444444444444,0.3501683501683501,0.696078431372549,0.774671052631579,0.7094861660079052
old_full_20eff128_reference,full_euclidean,contrastive_euclidean_probe,0.7563636363636363,0.6777777777777778,0.6531986531986532,0.726890756302521,0.7911184210526315,0.7490118577075099
old_full_20eff128_reference,full_euclidean,contrastive_euclidean_s,0.3963636363636363,0.4222222222222223,0.4242424242424242,0.3515406162464985,0.3717105263157895,0.4446640316205533
old_full_20eff128_reference,full_euclidean,contrastive_hybrid_basic_finetune,0.4363636363636364,0.4722222222222222,0.3804713804713804,0.6890756302521008,0.7697368421052632,0.7351778656126482
old_full_20eff128_reference,full_euclidean,contrastive_hybrid_basic_probe,0.6909090909090909,0.6277777777777778,0.5959595959595959,0.7324929971988796,0.7911184210526316,0.741106719367589
old_full_20eff128_reference,full_euclidean,contrastive_hybrid_basic_s,0.6836363636363637,0.6111111111111112,0.5892255892255891,0.738095238095238,0.7927631578947368,0.7470355731225297
old_full_20eff128_reference,full_euclidean,contrastive_rank_kendall_basic_finetune,0.44,0.5388888888888889,0.4343434343434343,0.6736694677871149,0.7582236842105263,0.7173913043478262
old_full_20eff128_reference,full_euclidean,contrastive_rank_kendall_basic_probe,0.5781818181818182,0.55,0.4747474747474747,0.7240896358543417,0.8141447368421052,0.7648221343873518
old_full_20eff128_reference,full_euclidean,contrastive_rank_kendall_basic_s,0.6763636363636364,0.6333333333333333,0.6127946127946127,0.6988795518207284,0.7779605263157895,0.7154150197628459
old_full_20eff128_reference,full_euclidean,contrastive_regress_d_finetune,0.4654545454545455,0.4833333333333333,0.4141414141414141,0.6750700280112045,0.7516447368421053,0.7470355731225297
old_full_20eff128_reference,full_euclidean,contrastive_regress_d_probe,0.6072727272727273,0.5416666666666666,0.5084175084175084,0.711484593837535,0.7894736842105263,0.7569169960474309
old_full_20eff128_reference,full_euclidean,contrastive_regress_d_s,0.6690909090909092,0.6111111111111112,0.5858585858585859,0.7058823529411764,0.7796052631578947,0.7351778656126483
old_full_20eff128_reference,full_euclidean,direct_logistic,0.3636363636363636,0.4861111111111111,0.4208754208754208,0.665266106442577,0.7648026315789473,0.6561264822134387
old_full_20eff128_reference,full_euclidean,ridge_dhat_all,0.7781818181818182,0.65,0.6498316498316499,0.7563025210084033,0.8174342105263157,0.7648221343873518
old_full_20eff128_reference,full_euclidean,ridge_dhat_finetune,0.7781818181818182,0.65,0.6498316498316499,0.7563025210084033,0.8174342105263157,0.7648221343873518
old_full_20eff128_reference,full_hybrid_basic,contrastive_euclidean_finetune,0.5345454545454545,0.4194444444444444,0.3872053872053871,0.6750700280112045,0.6726973684210527,0.6699604743083005
old_full_20eff128_reference,full_hybrid_basic,contrastive_euclidean_probe,0.76,0.6027777777777777,0.5993265993265993,0.6988795518207283,0.7467105263157894,0.6897233201581028
old_full_20eff128_reference,full_hybrid_basic,contrastive_euclidean_s,0.2690909090909091,0.4111111111111111,0.4175084175084175,0.3235294117647058,0.2763157894736842,0.3181818181818182
old_full_20eff128_reference,full_hybrid_basic,contrastive_hybrid_basic_finetune,0.5236363636363637,0.4555555555555555,0.4343434343434343,0.680672268907563,0.6907894736842105,0.6541501976284585
old_full_20eff128_reference,full_hybrid_basic,contrastive_hybrid_basic_probe,0.8290909090909091,0.6055555555555555,0.6161616161616161,0.7843137254901961,0.8009868421052632,0.7430830039525692
old_full_20eff128_reference,full_hybrid_basic,contrastive_hybrid_basic_s,0.8327272727272728,0.6138888888888889,0.6262626262626263,0.7815126050420169,0.78125,0.7193675889328063
old_full_20eff128_reference,full_hybrid_basic,contrastive_rank_kendall_basic_finetune,0.6254545454545455,0.4055555555555555,0.4781144781144781,0.7142857142857143,0.7055921052631579,0.6304347826086957
old_full_20eff128_reference,full_hybrid_basic,contrastive_rank_kendall_basic_probe,0.7163636363636364,0.4833333333333333,0.4478114478114477,0.7492997198879552,0.7236842105263157,0.6521739130434783
old_full_20eff128_reference,full_hybrid_basic,contrastive_rank_kendall_basic_s,0.8800000000000001,0.6527777777777777,0.6632996632996633,0.7366946778711485,0.7236842105263158,0.658102766798419
old_full_20eff128_reference,full_hybrid_basic,contrastive_regress_d_finetune,0.5854545454545454,0.4861111111111111,0.4579124579124578,0.7058823529411765,0.7236842105263157,0.673913043478261
