input_version,setup,cn_ad_auc,cn_mci_cls_auc,mci_ad_cls_auc,3class_acc,3class_macro_auc,mci_conv_auc,cn_mci_conv_auc,r2_d_mod3,pearson_d_mod3,spearman_d_mod3,alignment_spearman,loss_mode,tau,beta,rank_alpha,lambda_rank,final_soft_tau,z_std_train,z_std_test,z_dim_std_mean,z_dim_std_max,z_active_dims_005,z_active_dims_010,z_active_dims_050,centroid_alignment_spearman,pca_plot,pairwise_plot,tsne_plot,result_dir,config
raw,setup3,0.7974117647058824,0.5809266409266409,0.7308653191006133,0.4779050736497545,0.6352730060367162,0.7549999999999999,0.6808988764044944,0.1041791564588383,0.4360768538946511,0.4110237102809785,0.1616214019792976,hybrid,1.0,1.0,20.0,0.3,1.0,0.0298653300851583,0.0317802242934703,0.013845769688487,0.1408465355634689,23.0,9.0,0.0,0.0912387857667818,results_rank_hybrid_a20_l0p3_05152016_s60_c150_h384_l256/setup3_pca_d_mod3_raw.png,results_rank_hybrid_a20_l0p3_05152016_s60_c150_h384_l256/setup3_pairwise_distance_raw.png,results_rank_hybrid_a20_l0p3_05152016_s60_c150_h384_l256/setup3_tsne_d_mod3_raw.png,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a20_l0p3_05152016_s60_c150_h384_l256,hybrid_a20_l0.3
raw,setup3-s,,,,,,0.7471428571428571,0.6921348314606741,,0.4168274567590569,0.3897832568137663,,hybrid,1.0,1.0,20.0,0.3,1.0,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a20_l0p3_05152016_s60_c150_h384_l256,hybrid_a20_l0.3
raw,setup4,0.8243137254901962,0.6057760617760618,0.7763645998940117,0.5106382978723404,0.6716020723319259,0.6578571428571429,0.5662921348314607,0.1196731398857495,0.4314280780909562,0.3933734949266659,0.0993894401506333,,,,,,,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a20_l0p3_05152016_s60_c150_h384_l256,nan
combat,setup1,0.8472941176470589,0.578980694980695,0.7606934665758196,0.4615384615384615,0.6613535627370241,0.6842857142857142,0.2898876404494382,0.1476024332269031,0.4450355542121561,0.4376833484057679,0.0356278904014618,,,,,,,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a20_l0p3_05152016_s60_c150_h384_l256,nan
combat,setup2,0.7192941176470589,0.5663166023166024,0.7090241502006207,0.4877250409165303,0.6409486541178023,0.5985714285714285,0.2022471910112359,0.0384620274676543,0.3364881530149269,0.3309324234107262,0.0912718430243881,,,,,,,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a20_l0p3_05152016_s60_c150_h384_l256,nan
combat,setup3,0.8330196078431372,0.6190888030888031,0.7549019607843138,0.497545008183306,0.6700023123512399,0.72,0.5573033707865169,0.1240636830797184,0.4532903767837737,0.4315617304312189,0.1519305443896362,hybrid,1.0,1.0,20.0,0.3,1.0,0.0264134239405393,0.0256482232362031,0.0119566172361373,0.1722324341535568,19.0,2.0,0.0,0.1556651047100174,results_rank_hybrid_a20_l0p3_05152016_s60_c150_h384_l256/setup3_pca_d_mod3_combat.png,results_rank_hybrid_a20_l0p3_05152016_s60_c150_h384_l256/setup3_pairwise_distance_combat.png,results_rank_hybrid_a20_l0p3_05152016_s60_c150_h384_l256/setup3_tsne_d_mod3_combat.png,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a20_l0p3_05152016_s60_c150_h384_l256,hybrid_a20_l0.3
combat,setup3-s,,,,,,0.7092857142857143,0.5932584269662922,,0.3897855143414913,0.3770533364267335,,hybrid,1.0,1.0,20.0,0.3,1.0,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a20_l0p3_05152016_s60_c150_h384_l256,hybrid_a20_l0.3
combat,setup4,0.8465882352941176,0.5972355212355213,0.7479370126428949,0.4762684124386252,0.6843769553830498,0.6292857142857142,0.2426966292134831,0.11508304816848,0.4167970657151018,0.4056125221680526,0.090017532013415,,,,,,,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a20_l0p3_05152016_s60_c150_h384_l256,nan
raw,setup1,0.859529411764706,0.5766177606177607,0.7621318797789386,0.4517184942716857,0.657122449587882,0.6435714285714286,0.3168539325842697,0.2370208374243633,0.5123545020823749,0.4667079120022348,0.0453486034165119,,,,,,,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a20_l1p0_05152016_s60_c150_h384_l256,nan
raw,setup2,0.7515294117647059,0.5618378378378378,0.6928987811340752,0.4599018003273322,0.6100324148600236,0.6264285714285713,0.2404494382022471,0.0566773786006109,0.3766981130296147,0.338407067915162,0.0995213357389061,,,,,,,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a20_l1p0_05152016_s60_c150_h384_l256,nan
raw,setup3,0.7936078431372549,0.5768494208494208,0.730259671436142,0.4795417348608838,0.6338459075192222,0.7471428571428571,0.7123595505617977,0.1069025277708252,0.4341278298924601,0.4056234121992549,0.1593810882180935,hybrid,1.0,1.0,20.0,1.0,1.0,0.027395524084568,0.0288726687431335,0.0129095027223229,0.248320534825325,15.0,1.0,0.0,0.0825944683902377,results_rank_hybrid_a20_l1p0_05152016_s60_c150_h384_l256/setup3_pca_d_mod3_raw.png,results_rank_hybrid_a20_l1p0_05152016_s60_c150_h384_l256/setup3_pairwise_distance_raw.png,results_rank_hybrid_a20_l1p0_05152016_s60_c150_h384_l256/setup3_tsne_d_mod3_raw.png,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a20_l1p0_05152016_s60_c150_h384_l256,hybrid_a20_l1
raw,setup3-s,,,,,,0.74,0.6966292134831461,,0.4361189017985459,0.4095914344380665,,hybrid,1.0,1.0,20.0,1.0,1.0,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a20_l1p0_05152016_s60_c150_h384_l256,hybrid_a20_l1
raw,setup4,0.8385882352941176,0.607073359073359,0.7885911121205238,0.5188216039279869,0.6782608049999376,0.6714285714285715,0.5415730337078651,0.1431913963003419,0.4389753431816797,0.4055172475472441,0.1056407174833182,,,,,,,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a20_l1p0_05152016_s60_c150_h384_l256,nan
combat,setup1,0.8472941176470589,0.578980694980695,0.7606934665758196,0.4615384615384615,0.6613535627370241,0.6842857142857142,0.2898876404494382,0.1476024332269031,0.4450355542121561,0.4376833484057679,0.0356278904014618,,,,,,,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a20_l1p0_05152016_s60_c150_h384_l256,nan
combat,setup2,0.7192941176470589,0.5663166023166024,0.7090241502006207,0.4877250409165303,0.6409486541178023,0.5985714285714285,0.2022471910112359,0.0384620274676543,0.3364881530149269,0.3309324234107262,0.0912718430243881,,,,,,,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a20_l1p0_05152016_s60_c150_h384_l256,nan
combat,setup3,0.8125882352941176,0.6024401544401544,0.7357862063744416,0.497545008183306,0.6493745019679293,0.7371428571428571,0.6629213483146068,0.0897273187737877,0.4267521644340445,0.407163483568416,0.1661528563696842,hybrid,1.0,1.0,20.0,1.0,1.0,0.0257509928196668,0.025554908439517,0.0122933313250541,0.1924130767583847,13.0,2.0,0.0,0.140819256521261,results_rank_hybrid_a20_l1p0_05152016_s60_c150_h384_l256/setup3_pca_d_mod3_combat.png,results_rank_hybrid_a20_l1p0_05152016_s60_c150_h384_l256/setup3_pairwise_distance_combat.png,results_rank_hybrid_a20_l1p0_05152016_s60_c150_h384_l256/setup3_tsne_d_mod3_combat.png,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a20_l1p0_05152016_s60_c150_h384_l256,hybrid_a20_l1
combat,setup3-s,,,,,,0.7314285714285714,0.6606741573033708,,0.4121097874225293,0.3914520620300386,,hybrid,1.0,1.0,20.0,1.0,1.0,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a20_l1p0_05152016_s60_c150_h384_l256,hybrid_a20_l1
combat,setup4,0.8141960784313725,0.603953667953668,0.7699295934590051,0.530278232405892,0.696216938040017,0.6907142857142857,0.2584269662921348,0.1289444569621098,0.4161468612611285,0.4050255126600558,0.0825721868506404,,,,,,,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a20_l1p0_05152016_s60_c150_h384_l256,nan
raw,setup1,0.859529411764706,0.5766177606177607,0.7621318797789386,0.4517184942716857,0.657122449587882,0.6435714285714286,0.3168539325842697,0.2370208374243633,0.5123545020823749,0.4667079120022348,0.0453486034165119,,,,,,,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a4_l0p3_05152016_s60_c150_h384_l256,nan
raw,setup2,0.7515294117647059,0.5618378378378378,0.6928987811340752,0.4599018003273322,0.6100324148600236,0.6264285714285713,0.2404494382022471,0.0566773786006109,0.3766981130296147,0.338407067915162,0.0995213357389061,,,,,,,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a4_l0p3_05152016_s60_c150_h384_l256,nan
raw,setup3,0.8043137254901962,0.5865328185328185,0.7316602316602318,0.4893617021276595,0.6389529166836598,0.7621428571428571,0.6651685393258427,0.1076418071343338,0.4344992642135965,0.4057690860949032,0.1706515578842805,hybrid,1.0,1.0,4.0,0.3,1.0,0.0269829537719488,0.0286276116967201,0.0148709611967206,0.1170797273516655,22.0,3.0,0.0,0.0741629537973328,results_rank_hybrid_a4_l0p3_05152016_s60_c150_h384_l256/setup3_pca_d_mod3_raw.png,results_rank_hybrid_a4_l0p3_05152016_s60_c150_h384_l256/setup3_pairwise_distance_raw.png,results_rank_hybrid_a4_l0p3_05152016_s60_c150_h384_l256/setup3_tsne_d_mod3_raw.png,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a4_l0p3_05152016_s60_c150_h384_l256,hybrid_a4_l0.3
raw,setup3-s,,,,,,0.7571428571428571,0.6674157303370787,,0.4390281264279208,0.4087480620216212,,hybrid,1.0,1.0,4.0,0.3,1.0,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a4_l0p3_05152016_s60_c150_h384_l256,hybrid_a4_l0.3
raw,setup4,0.8310196078431372,0.6136061776061776,0.7807176924823983,0.5106382978723404,0.6815797295288193,0.5907142857142857,0.5393258426966292,0.1217314658832472,0.4365688536631708,0.3991131726764382,0.0995485364232986,,,,,,,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a4_l0p3_05152016_s60_c150_h384_l256,nan
combat,setup1,0.8472941176470589,0.578980694980695,0.7606934665758196,0.4615384615384615,0.6613535627370241,0.6842857142857142,0.2898876404494382,0.1476024332269031,0.4450355542121561,0.4376833484057679,0.0356278904014618,,,,,,,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a4_l0p3_05152016_s60_c150_h384_l256,nan
combat,setup2,0.7192941176470589,0.5663166023166024,0.7090241502006207,0.4877250409165303,0.6409486541178023,0.5985714285714285,0.2022471910112359,0.0384620274676543,0.3364881530149269,0.3309324234107262,0.0912718430243881,,,,,,,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a4_l0p3_05152016_s60_c150_h384_l256,nan
combat,setup3,0.8349019607843138,0.6093899613899613,0.7500946324475737,0.4893617021276595,0.6589754735071077,0.7271428571428572,0.6314606741573033,0.1137608235791284,0.448798157081928,0.4339740038646458,0.1645059968467093,hybrid,1.0,1.0,4.0,0.3,1.0,0.0260311309248209,0.0251065921038389,0.013524517416954,0.1449520587921142,20.0,1.0,0.0,0.1470102655641956,results_rank_hybrid_a4_l0p3_05152016_s60_c150_h384_l256/setup3_pca_d_mod3_combat.png,results_rank_hybrid_a4_l0p3_05152016_s60_c150_h384_l256/setup3_pairwise_distance_combat.png,results_rank_hybrid_a4_l0p3_05152016_s60_c150_h384_l256/setup3_tsne_d_mod3_combat.png,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a4_l0p3_05152016_s60_c150_h384_l256,hybrid_a4_l0.3
